ISO 字符集
ISO 字符集是国际标准组织 (ISO) 针对不同的字母表/语言定义的标准字符集
下面列出了世界各地使用的不同字符集：
字符集 	描述 	使用范围
ISO-8859-1 	Latin alphabet part 1 	北美、西欧、拉丁美洲、加勒比海、加拿大、非洲
ISO-8859-2 	Latin alphabet part 2 	东欧
ISO-8859-3 	Latin alphabet part 3 	SE Europe、世界语、其他杂项
ISO-8859-4 	Latin alphabet part 4 	斯堪的纳维亚/波罗的海（以及其他没有包括在 ISO-8859-1 中的部分）
ISO-8859-5 	Latin/Cyrillic part 5 	使用古代斯拉夫语字母表的语言，比如保加利亚语、白俄罗斯文、俄罗斯语、马其顿语
ISO-8859-6 	Latin/Arabic part 6 	使用阿拉伯字母的语言
ISO-8859-7 	Latin/Greek part 7 	现代希腊语，以及有希腊语衍生的数学符号
ISO-8859-8 	Latin/Hebrew part 8 	使用希伯来语的语言
ISO-8859-9 	Latin 5 part 9 	        土耳其语
ISO-8859-10 	Latin 6 	        拉普兰语、日耳曼语、爱斯基摩北欧语
ISO-8859-15 	Latin 9 (aka Latin 0) 	与 ISO 8859-1 类似，欧元符号和其他一些字符取代了一些较少使用的符号
ISO-2022-JP 	Latin/Japanese part 1 	日本语
ISO-2022-JP-2 	Latin/Japanese part 2 	日本语
ISO-2022-KR 	Latin/Korean part 1 	韩语
